name,description,price,discountPrice,productCode,category,imageUrlsCsv,quantity
"GUINOT HYDRAZONE FLUIDE SOLAIRE VISAGE SPF30 50ML","Fluide solaire haute protection pour le visage. Texture légère et non grasse. Protection UVA/UVB optimale.",458,400,GUINOT1,Soin du Visage,"https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",1003
"LA ROCHE-POSAY EFFACLAR DUO+ 40ML","Soin anti-imperfections intensif. Réduit les boutons et points noirs. Action anti-marques.",285,250,LAROCHE1,Soin du Visage,"https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500",850
"VICHY LIFTACTIV COLLAGEN SPECIALIST 50ML","Soin anti-âge au collagène. Raffermit et lisse la peau. Réduit les rides visibles.",320,280,VICHY1,Soin du Visage,"https://images.unsplash.com/photo-1556228453-efd6c1ff04f6?w=500,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500,https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500",620
"BIODERMA SENSIBIO H2O 500ML","Solution micellaire démaquillante. Nettoie et apaise les peaux sensibles. Sans rinçage.",180,160,BIODERMA1,Soin du Visage,"https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500",1200
"AVÈNE EAU THERMALE SPRAY 300ML","Eau thermale apaisante et anti-irritante. Calme les rougeurs. Convient aux peaux sensibles.",120,100,AVENE1,Soin du Visage,"https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",950
"NUXE HUILE PRODIGIEUSE 100ML","Huile sèche multi-usages. Nourrit visage corps et cheveux. Fini satiné non gras.",280,245,NUXE1,Soin du Corps,"https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500,https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500",780
"CAUDALIE VINOSOURCE CRÈME SORBET 40ML","Crème hydratante légère effet fraîcheur. Apaise et hydrate intensément. Texture gel-crème.",250,220,CAUDALIE1,Soin du Visage,"https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500",540
"EUCERIN HYALURON-FILLER JOUR SPF30 50ML","Soin anti-rides à l'acide hyaluronique. Protection solaire SPF30. Comble les rides de l'intérieur.",340,299,EUCERIN1,Soin du Visage,"https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500",420
"NEUTROGENA HYDRO BOOST GEL-CRÈME 50ML","Gel-crème ultra-hydratant à l'acide hyaluronique. Hydratation intense 48h. Texture légère.",180,155,NEUTROGENA1,Soin du Visage,"https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500",890
"CERAVE CRÈME HYDRATANTE VISAGE 52ML","Crème hydratante avec céramides. Restaure la barrière cutanée. Formule non comédogène.",150,130,CERAVE1,Soin du Visage,"https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",1100
"DUCRAY KELUAL DS CRÈME 40ML","Crème apaisante anti-récidive. Traite les états squameux du visage. Apaise les irritations.",195,170,DUCRAY1,Soin du Visage,"https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500,https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500",380
"URIAGE BARIÉDERM CICA-CRÈME 40ML","Crème réparatrice isolante. Favorise la cicatrisation. Protège et apaise.",160,140,URIAGE1,Soin du Corps,"https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500",670
"KLORANE SHAMPOOING PIVOINE 400ML","Shampooing apaisant au extrait de pivoine. Calme le cuir chevelu irrité. Usage fréquent.",140,120,KLORANE1,Hygiène Dentaire,"https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",920
"PHYTO PHYTOPHANÈRE COMPLÉMENT 120 CAPS","Complément alimentaire cheveux et ongles. Renforce et stimule la pousse. Cure 4 mois.",380,340,PHYTO1,Soin du Corps,"https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500,https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500",290
"René FURTERER TRIPHASIC SÉRUM 8X5.5ML","Sérum anti-chute progressive. Stimule la croissance capillaire. Traitement intensif.",450,399,FURTERER1,Soin du Corps,"https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500",210
"MUSTELA HYDRA BÉBÉ CRÈME VISAGE 40ML","Crème hydratante pour le visage de bébé. Renforce la barrière cutanée. Hypoallergénique.",95,85,MUSTELA1,Soin du Visage,"https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500",1500
"WELEDA HUILE DE MASSAGE ARNICA 100ML","Huile de massage à l'arnica. Détend les muscles. Idéale après l'effort.",180,160,WELEDA1,Soin du Corps,"https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500",450
"A-DERMA EXOMEGA CONTROL BAUME 400ML","Baume émollient anti-grattage. Apaise les peaux très sèches à tendance atopique. Hydratation 24h.",280,250,ADERMA1,Soin du Corps,"https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",580
"SVR SEBIACLEAR CRÈME SPF50+ 40ML","Crème solaire matifiante anti-imperfections. Haute protection. Texture non grasse.",220,195,SVR1,Soin du Visage,"https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500,https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500",640
"LIERAC LIFT INTEGRAL CRÈME REMODELANTE 50ML","Crème liftante restructurante. Redensifie et raffermit. Action anti-âge globale.",420,370,LIERAC1,Soin du Visage,"https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500",310
"FILORGA TIME-FILLER 5XP CRÈME 50ML","Crème anti-rides multi-correction. Lisse et repulpe. Technologie peptides.",650,580,FILORGA1,Soin du Visage,"https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500",180
"COMPEED PANSEMENTS AMPOULES MIXTE 5 PANS","Pansements hydrocolloïdes pour ampoules. Soulagement immédiat de la douleur. Cicatrisation rapide.",85,75,COMPEED1,Soin du Corps,"https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500",2000
"URGO FILMOGEL CREVASSES MAINS 3.25ML","Film protecteur pour crevasses des mains. Soulage et répare. Résistant à l'eau.",120,105,URGO1,Soin du Corps,"https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",750
"SCHOLL CRÈME RÉPARATRICE TALONS FENDILLÉS 60ML","Crème réparatrice intensive pour talons. Répare en 7 jours. Formule enrichie en kératine.",140,125,SCHOLL1,Soin du Corps,"https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500,https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500",880
"FLUOCARIL BI-FLUORÉ 145MG MENTHE 75ML","Dentifrice protection complète. Prévient les caries. Renforce l'émail.",45,40,FLUOCARIL1,Hygiène Dentaire,"https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500",3000
"ELMEX SENSITIVE PROFESSIONAL 75ML","Dentifrice dents sensibles. Soulagement immédiat. Protection longue durée.",55,48,ELMEX1,Hygiène Dentaire,"https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500",2500
"MERIDOL BAIN DE BOUCHE 400ML","Bain de bouche protection gencives. Action antibactérienne. Prévient l'inflammation.",90,80,MERIDOL1,Hygiène Dentaire,"https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500",1800
"GUM SOFT-PICKS ADVANCED 30 BÂTONNETS","Bâtonnets interdentaires souples. Nettoie entre les dents. Stimule les gencives.",65,58,GUM1,Hygiène Dentaire,"https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=500",1200
"ORAL-B PRO-EXPERT DENTIFRICE 75ML","Dentifrice protection professionnelle. Protège contre 7 problèmes bucco-dentaires. Formule au fluor.",50,45,ORALB1,Hygiène Dentaire,"https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=500,https://images.unsplash.com/photo-1556228852-80c3c2e8c9a2?w=500",2800
"LISTERINE TOTAL CARE 500ML","Bain de bouche 6 en 1. Protection complète. Haleine fraîche 24h.",75,68,LISTERINE1,Hygiène Dentaire,"https://images.unsplash.com/photo-1556228720-195a672e8a03?w=500,https://images.unsplash.com/photo-1571875257727-256c39da42af?w=500,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500",2200
